date,asset,price
2024-01-01,GOLD,1999.7543955115925
2024-01-02,GOLD,1999.9770687983323
2024-01-03,GOLD,2000.0713376204435
2024-01-04,GOLD,1999.1308018065772
2024-01-05,GOLD,1998.922295773327
2024-01-06,GOLD,1997.5616222668023
2024-01-07,GOLD,1996.8648873247857
2024-01-08,GOLD,1995.5420278276495
2024-01-09,GOLD,1996.2494673463311
2024-01-10,GOLD,1993.5819056631522
2024-01-11,GOLD,1992.380183291882
2024-01-12,GOLD,1995.3939361802898
2024-01-13,GOLD,1995.456374080871
2024-01-14,GOLD,1995.1581415349056
2024-01-15,GOLD,1995.4637575636702
2024-01-16,GOLD,1995.4084914304378
2024-01-17,GOLD,1995.9447026915595
2024-01-18,GOLD,1996.3694507560697
2024-01-19,GOLD,1996.535827840891
2024-01-20,GOLD,1995.6417435611704
2024-01-21,GOLD,1994.6653125098346
2024-01-22,GOLD,1994.005882714353
2024-01-23,GOLD,1994.841390768024
2024-01-24,GOLD,1994.731440138312
2024-01-25,GOLD,1994.301605327767
2024-01-26,GOLD,1995.732744513042
2024-01-27,GOLD,1995.7717377966846
2024-01-28,GOLD,1994.6817672582133
2024-01-29,GOLD,1995.6085957549217
2024-01-30,GOLD,1993.8523179737044
2024-01-31,GOLD,1994.5149090035477
2024-02-01,GOLD,1993.2627170083015
2024-02-02,GOLD,1993.6434433701595
2024-02-03,GOLD,1994.8133436640678
2024-02-04,GOLD,1994.0377371943132
2024-02-05,GOLD,1994.038627961608
2024-02-06,GOLD,1993.4827273529197
2024-02-07,GOLD,1992.978176739567
2024-02-08,GOLD,1992.0269003612527
2024-02-09,GOLD,1993.5604415354298
2024-02-10,GOLD,1993.321377179108
2024-02-11,GOLD,1995.130594227593
2024-02-12,GOLD,1995.6885333357225
2024-02-13,GOLD,1996.7007844991597
2024-02-14,GOLD,1997.455703467268
2024-02-15,GOLD,1996.718884554017
2024-02-16,GOLD,1995.8038352496785
2024-02-17,GOLD,1996.2340515336057
2024-02-18,GOLD,1997.0494159987031
2024-02-19,GOLD,1996.8662811883928
2024-02-20,GOLD,1996.9813936304613
2024-02-21,GOLD,1998.7085202031578
2024-02-22,GOLD,1998.59129767604
2024-02-23,GOLD,1999.7831867543684
2024-02-24,GOLD,1998.2464454295741
2024-02-25,GOLD,1996.9770458326218
2024-02-26,GOLD,1995.205076165991
2024-02-27,GOLD,1994.3470521958673
2024-02-28,GOLD,1993.9798380554535
2024-02-29,GOLD,1992.5995968883465
2024-03-01,GOLD,1992.02049135119
2024-03-02,GOLD,1992.2744803950168
2024-03-03,GOLD,1993.4955688442037
2024-03-04,GOLD,1994.7653865964264
2024-03-05,GOLD,1996.4328133683107
2024-03-06,GOLD,1997.9439317988006
2024-03-07,GOLD,1998.1212177154741
2024-03-08,GOLD,1998.200622390302
2024-03-09,GOLD,1997.4758255498768
2024-03-10,GOLD,1997.889931742933
2024-03-11,GOLD,1998.5996904382346
2024-03-12,GOLD,1998.429820025277
2024-03-13,GOLD,1997.5886017803805
2024-03-14,GOLD,1997.873303276804
2024-03-15,GOLD,1998.3276860359097
2024-03-16,GOLD,1998.4872392907512
2024-03-17,GOLD,1997.8744593534223
2024-03-18,GOLD,1998.8962706092975
2024-03-19,GOLD,1998.8548193935071
2024-03-20,GOLD,1996.8698259565865
2024-03-21,GOLD,1995.5056723536045
2024-03-22,GOLD,1995.151231667114
2024-03-23,GOLD,1994.7455867670071
2024-03-24,GOLD,1995.812255148593
2024-03-25,GOLD,1995.998094511022
2024-03-26,GOLD,1995.4665562086034
2024-03-27,GOLD,1996.309781995771
2024-03-28,GOLD,1996.9897335211333
2024-03-29,GOLD,1997.4810161648336
2024-03-30,GOLD,1997.8493618641364
2024-03-31,GOLD,1997.0267179278633
2024-04-01,GOLD,1998.1650451197856
2024-04-02,GOLD,1996.8675926693647
2024-04-03,GOLD,1997.4958646793896
2024-04-04,GOLD,1997.8401546660689
2024-04-05,GOLD,2000.1559935811088
2024-04-06,GOLD,2000.6810913097368
2024-04-07,GOLD,2000.6480974550177
2024-04-08,GOLD,2000.3660402315381
2024-04-09,GOLD,1998.456729991575
2024-04-10,GOLD,1998.1311164117462
2024-04-11,GOLD,1998.9313552883732
2024-04-12,GOLD,1998.2747269868792
2024-04-13,GOLD,1998.3655367118588
2024-04-14,GOLD,1999.0506560355605
2024-04-15,GOLD,1997.7038912566898
2024-04-16,GOLD,1997.1121880040014
2024-04-17,GOLD,1998.2887851128944
2024-04-18,GOLD,1996.7457529339524
2024-04-19,GOLD,1996.0296711859964
2024-04-20,GOLD,1995.0127315645705
2024-04-21,GOLD,1995.0223773247121
2024-04-22,GOLD,1996.065839694205
2024-04-23,GOLD,1996.2167198204138
2024-04-24,GOLD,1994.0630538553016
2024-04-25,GOLD,1992.6565298642945
2024-04-26,GOLD,1994.711560789917
2024-04-27,GOLD,1994.58997090758
2024-04-28,GOLD,1992.9559592835712
2024-04-29,GOLD,1992.5501992897973
2024-04-30,GOLD,1993.798773734585
2024-05-01,GOLD,1992.5395373939407
2024-05-02,GOLD,1990.7167924271812
2024-05-03,GOLD,1988.6975673771944
2024-05-04,GOLD,1988.616626141843
2024-05-05,GOLD,1987.405756490573
2024-05-06,GOLD,1989.0441727841762
2024-05-07,GOLD,1990.192974252107
2024-05-08,GOLD,1987.6680659285566
2024-05-09,GOLD,1988.8066168805935
2024-05-10,GOLD,1987.876934095801
2024-05-11,GOLD,1989.7616518377715
2024-05-12,GOLD,1990.113495188652
2024-05-13,GOLD,1989.1738425862015
2024-05-14,GOLD,1989.7670548469928
2024-05-15,GOLD,1988.8779139896974
2024-05-16,GOLD,1988.8135635020178
2024-05-17,GOLD,1987.5291766726718
2024-05-18,GOLD,1987.6757007047531
2024-05-19,GOLD,1986.9363811814128
2024-05-20,GOLD,1988.1382490958563
2024-05-21,GOLD,1989.9342417219104
2024-05-22,GOLD,1990.561104347308
2024-05-23,GOLD,1991.5230169478978
2024-05-24,GOLD,1990.9040434855258
2024-05-25,GOLD,1990.9531457998823
2024-05-26,GOLD,1993.2071275614678
2024-05-27,GOLD,1993.8831768852028
2024-05-28,GOLD,1993.5181528956898
2024-05-29,GOLD,1992.2200596361363
2024-05-30,GOLD,1991.4712375938075
2024-05-31,GOLD,1990.4778003882238
