date,asset,price
2024-01-01,STOCK,100.15752070754947
2024-01-02,STOCK,99.53759782791188
2024-01-03,STOCK,98.86390698629333
2024-01-04,STOCK,99.78715176816043
2024-01-05,STOCK,100.30512291091131
2024-01-06,STOCK,99.74166964576753
2024-01-07,STOCK,99.41116147001858
2024-01-08,STOCK,99.91943952539168
2024-01-09,STOCK,101.38901111864344
2024-01-10,STOCK,103.48668851807786
2024-01-11,STOCK,102.89349454449177
2024-01-12,STOCK,103.79446034684267
2024-01-13,STOCK,104.20210450124281
2024-01-14,STOCK,105.10363067062018
2024-01-15,STOCK,105.48463177182961
2024-01-16,STOCK,105.12757698229112
2024-01-17,STOCK,106.291712564762
2024-01-18,STOCK,105.2165278079787
2024-01-19,STOCK,104.0672094357369
2024-01-20,STOCK,105.48940653798527
2024-01-21,STOCK,105.53501029732368
2024-01-22,STOCK,107.54421663583123
2024-01-23,STOCK,108.00923416574237
2024-01-24,STOCK,108.46211328882643
2024-01-25,STOCK,108.80530503513772
2024-01-26,STOCK,108.55981158046221
2024-01-27,STOCK,108.43352685657486
2024-01-28,STOCK,109.57177010687215
2024-01-29,STOCK,108.98913140712403
2024-01-30,STOCK,109.46088560958592
2024-01-31,STOCK,108.54940452873942
2024-02-01,STOCK,108.38181413345536
2024-02-02,STOCK,108.62663490910931
2024-02-03,STOCK,106.93783604637511
2024-02-04,STOCK,108.44072265434733
2024-02-05,STOCK,106.50170652599927
2024-02-06,STOCK,107.23298166671168
2024-02-07,STOCK,106.52385916632814
2024-02-08,STOCK,107.31164678384182
2024-02-09,STOCK,108.18143214285573
2024-02-10,STOCK,108.42489989898787
2024-02-11,STOCK,108.2109316725582
2024-02-12,STOCK,110.69813789407132
2024-02-13,STOCK,110.15074170724027
2024-02-14,STOCK,111.16319123701277
2024-02-15,STOCK,112.20875867481942
2024-02-16,STOCK,112.7145892096024
2024-02-17,STOCK,115.54239637838789
2024-02-18,STOCK,113.93302054878438
2024-02-19,STOCK,112.8895201601544
2024-02-20,STOCK,111.07549057574836
2024-02-21,STOCK,110.58662577835301
2024-02-22,STOCK,109.53119788140424
2024-02-23,STOCK,110.99919311236593
2024-02-24,STOCK,110.75468590918881
2024-02-25,STOCK,110.01096645873852
2024-02-26,STOCK,108.50825840966755
2024-02-27,STOCK,108.46563564389123
2024-02-28,STOCK,109.85868156453053
2024-02-29,STOCK,110.064077543292
2024-03-01,STOCK,109.39733389758948
2024-03-02,STOCK,111.30204866288777
2024-03-03,STOCK,111.05951285903612
2024-03-04,STOCK,111.73764631163961
2024-03-05,STOCK,112.26932586254063
2024-03-06,STOCK,112.62844703107586
2024-03-07,STOCK,112.59373260446232
2024-03-08,STOCK,112.19214897460343
2024-03-09,STOCK,113.15626874615526
2024-03-10,STOCK,110.42483303319072
2024-03-11,STOCK,110.42374418910936
2024-03-12,STOCK,111.14825396777749
2024-03-13,STOCK,112.16967408286355
2024-03-14,STOCK,112.73991572350981
2024-03-15,STOCK,113.21261999845441
2024-03-16,STOCK,113.36703360755494
2024-03-17,STOCK,113.32695442748316
2024-03-18,STOCK,114.4855776030136
2024-03-19,STOCK,114.63310108446979
2024-03-20,STOCK,114.78660882640598
2024-03-21,STOCK,112.43873669410651
2024-03-22,STOCK,112.15206730871634
2024-03-23,STOCK,112.04365208727815
2024-03-24,STOCK,111.67275731688095
2024-03-25,STOCK,112.07960197208848
2024-03-26,STOCK,111.72621074589773
2024-03-27,STOCK,113.72499095706998
2024-03-28,STOCK,115.24043288788296
2024-03-29,STOCK,115.35348608046591
2024-03-30,STOCK,115.29635939381751
